Lemma,Glossa,Esempio,POS
apiturismo,"Forma di turismo focalizzata sulla visita a siti e imprese dedicati all'allevamento delle api e alla produzione di miele, originata in Slovenia e adottata anche in Italia.","questo è l’apiturismo, nuova tendenza di viaggio che sempre più sta prendendo piede in tutto il mondo",sost
armocromista,"esperto in armocromia, consulente d'immagine che applica questa conoscenza per raffinare l'armonia cromatica nel vestire.",Le donne oggi iniziano ad essere più consapevoli dell'uso del colore nel make-up – afferma l'armocromista Elisa Bonandini,sost
calendiano,Sostenitore in linea con le idee politiche di Carlo Calenda,"In sala, ci sono renziani e calendiani della prima ora, ma anche esponenti piddini",agg
ferramentista,"Persona specializzata nella lavorazione, assemblaggio e manutenzione di strumenti e utensili metallici.","La storica ditta Carini srl, colorificio, ferramentista e utensileria, per il mese più caldo dell'anno vi aspetta nel punto vendita di Sanremo",sost
foodtelling,"##forestierismo## Condivisione dell'esperienza personale con il cibo, narrando il proprio rapporto con esso come elemento di scambio culturale e sociale.","l’Agorà per il food-telling, la Sala Mantegna per le degustazioni guidate di olio extravergine di oliva",sost
molecola killer,"Nel linguaggio giornalistico, molecola naturale o sintetizzata, capace di uccidere agenti patogeni come virus o batteri.",A progettare la nuova molecola killer di virus è stato un team di ricerca internazionale guidato da scienziati della Scuola politecnica federale di Losanna,loc nom
nano-drone,"Drone di dimensioni molto piccole.","Snipe, nano drone pieghevole per operazioni tattiche.",sost
ni-vax,"Individuo che, pur non posizionandosi apertamente contro la vaccinazione, esprime forte scetticismo sull'opportunità di adottarla.","Inoltre, qualsiasi titubanza o tergiversare supporta “no vax” e “ni vax” principalmente.",sost
umarell,anziano che osserva gli operai al lavoro nei cantieri,"Per gli umarells – prosegue Masotti – è una svolta epocale, finalmente potranno andare dritti all'oggetto dei loro desideri: il cantiere stradale.",sost
variante alpha,"Mutazione del coronavirus, covid-19, SARS-CoV-2 identificata per la prima volta nel Regno Unito.","In Italia al 22 giugno scorso la prevalenza della cosiddetta ‘variante Alfa’ (B.1.1.7) di SARS-CoV-2 era del 57,8%, in calo rispetto all’88,1\% del 18 maggio",sost
antropausa,"Periodo di pausa dell'attività dell'uomo su scala planetaria, considerato in relazione con gli effetti sugli equilibri ambientali. [ETIMOLOGIA: Dal greco άνϑρωπος «uomo»]",aumento dell’attività diurna e maggior successo riproduttivo anche per specie a rischio sono alcuni dei risultati positivi dell’antropausa,sost
battiatesco,"Relativo allo stile, alle opere e alle idee di Franco Battiato, noto cantautore, musicista e regista italiano.","Sperimentalismo ed echi di Bach, Puccini, Verdi, Richard Strauss si confondono in un crogiuolo di profonda suggestione di tipica impronta battiatesca.",agg
bonucciata,"Nel linguaggio sportivo, azione o dichiarazione caratteristica di Leonardo Bonucci, calciatore, spesso evidenziata per errore o particolarità.",Con una bonucciata lancia Arnautovic e poi rischia con una deviazione. Si riscatta facendo partire l’azione che spacca la partita.,agg
conversevolezza,"la capacità di esprimersi e di interagire con un tono e in uno stile conversevole, vivido ed efficace","Difficile capirlo a prima vista, perché Belbo compensava i momenti di fuga, esitazione, distacco, con momenti di distesa conversevolezza",sost
decarbonizzare,Azione di abbandonare l'uso di combustibili fossili per ridurre le emissioni di carbonio.,"Glasgow, la città post industriale che vuole ‘decarbonizzarsi’",verb
dedollarizzare,Processo di eliminazione del dollaro USA come valuta di riferimento in transazioni economiche e finanziarie globali.,Contratti che saranno in euro: un modo per de-dollarizzare l’economia russa.,verb
domicidio,"Distruzione intenzionale di abitazioni e strutture civili in un'area popolata. [ETIMOLOGIA: dal latino 'domus' (casa) e -cidio (uccisione)]","La demolizione sistematica delle case palestinesi, la costruzione di insediamenti israeliani illegali e la negazione sistematica dei permessi di costruzione ai palestinesi nella Cisgiordania occupata equivalgono a “domicidio”",sost
nasologia,"Studio scherzoso o satirico dei nasi, focalizzato sul loro ruolo distintivo nel viso umano e nella percezione estetica.","Così Gerlich aveva studiato quello di Hitler e, applicando le stesse teorie razziste, aveva prodotto un documentato studio di “nasologia comparata” che adesso aveva deciso di pubblicare.",sost
orbanizzarsi,"Adottare politiche o comportamenti simili a quelli di Viktor Orbán, politico ungherese noto per le sue posizioni conservatrici.",Davvero Giorgia Meloni sta / orbanizzando l'Italia?,verb
plant sitter,"##forestierismo## Professionista incaricato della cura delle piante in assenza temporanea dei proprietari, tipicamente durante le vacanze.","Quindi, se il cortese vicino è in vacanza anche lui, non resta che affidarsi alle mani esperte di una plant sitter.",loc nom
sensitivity reader,"##forestierismo## Nel settore editoriale, chi legge testi individuando contenuto potenzialmente offensivo e stereotipi.",I sensitivity reader hanno una solida esperienza accademica o professionale alle spalle,loc nom
tiflodidatta,Insegnante specializzato per individui non vedenti o ipovedenti [etimologia: dal greco antico τυφλός e διδάσκω].,"Realizzata dalla psicopedagogista e tiflodidatta Carmen Pirro, la piattaforma nasce dall’esigenza di ottimizzare e migliorare l’intervento educativo integrandolo con le attività a carattere riabilitativo e formativo per realizzare con maggiore efficacia l'inclusione delle persone con disabilità visiva",sost
vertiporto,Aereoporto appositamente attrezzato per consentire il decollo e l'atterraggio verticale.,"Nel breve-medio termine si prevede la realizzazione di almeno sei vertiporti urbani e quattro vertiporti in aree aeroportuali tra Milano, Roma, Torino, Venezia, Bari e Cortina.",sost
bipopulismo,"Un sistema politico in cui sono presenti due schieramenti populisti, spesso con ideologie contrastanti.","Il bipopulismo al potere: soltanto in Italia si è verificata l’integrazione, la collaborazione tra i due populismi su piazza: il primo, più sinistrorso, legato ai Cinque Stelle; il secondo, più destrorso, collegato alla Lega",sost
collassologia,Un campo di studi che analizza i rischi associati a un potenziale collasso della civiltà industriale e le sue conseguenze sulla società.,"se si sostituisce «collasso climatico» a «pandemia» il volume regge ugualmente, perché concentrato su tutte le teorie che costituiscono una disciplina dal fascino micidiale: la collassologia",sost
deplastificare,"Ridurre progressivamente l'uso di sostanze, materiali o prodotti in plastica, o eliminare completamente la loro presenza.",come cittadini abbiamo il dovere di essere sempre più proattivi a partire da un impegno a “deplastificare” le nostre abitudini,verb
ecoansia,Sensazione di ansia che si avverte al pensiero dei potenziali disastri legati al riscaldamento globale e ai suoi impatti sull'ambiente.,La chiamano eco-ansia e colpisce soprattutto i giovani nati dalla fine degli anni '90.,sost
ecofiction,"Un genere letterario che include opere narrative focalizzate sulla natura e sull'ecosistema come elementi centrali della trama, del punto di vista o del messaggio. In senso più ampio, si riferisce a opere letterarie o cinematografiche che affrontano tematiche ecologiche e ambientali.","La prima ecofiction italiana è napoletana. 'La famiglia Lindi', in onda dalla fine di giugno su Canale 9, si ispira alla crisi dei rifiuti.",sost
famiglia queer,"Un gruppo di individui queer che, indipendentemente dall'identità di genere o dall'orientamento sessuale, convivono per scelta e sono uniti da legami affettivi, sentimentali e dalla condivisione delle attività.",Ho comprato casa con 10 letti per la mia famiglia queer. Spero di non morire finché la Meloni è premier,loc nom
fantasanremo,Fantasy game basato sul Festival di Sanremo.,i fan del FantaSanremo erano in attesa dei risultati finali del gioco,sost
lungovivente,"Persona che convive a lungo con una grave malattia o che l'ha superata in passato, di solito pazienti oncologici.","Io ho pazienti oncologici lungoviventi che non riescono a smettere di fumare, con rischi intuibili",agg
maschiocentrismo,"atteggiamento che privilegia il punto di vista o le posizioni in cui la figura maschile è al centro, spesso con una connotazione polemica o ironica.",Siamo ancora e sempre al maschiocentrismo,sost
melonismo,l'insieme delle idee politiche e della linea di pensiero associata a Giorgia Meloni.,"Peggiore la situazione al Nord, roccaforte del voto leghista che si va pian piano riconvertendo al melonismo.",sost
muskiano,"termine che descrive ciò che è associato all'imprenditore sudafricano Elon Musk, inclusi i suoi modi di pensare, comportarsi e le attività imprenditoriali.",Accanto agli ascensori Musk ha posizionato una statua a grandezza naturale di Iron Man. Ma senza dubbio l'elemento più muskiano della fabbrica è l'ufficio al suo centro,agg
overperformare,"##forestierismo## il superamento delle aspettative o delle previsioni, soprattutto nell'ambito economico.","il Gruppo ha continuato ad overperformare i target previsti sia dal (nuovo) Business Plan, sia dai rispettivi Budget annuali",verb
pirocene,"letteralmente l'era storica del fuoco, periodo contraddistinto da un incremento significativo di incendi di ampia scala e di fenomeni meteorologici estremi. [etimologia: dal greco πῦρ πυρός «fuoco»]","'Benvenuti nel Pirocene' ricostruisce la storia della nostra relazione con il fuoco, e spiega perché il riscaldamento globale sta contribuendo a generare dei mega incendi",sost
plasticene,"letteralmente era storica della plastica: periodo marcato dall'aumento dell'inquinamento causato da plastica non degradabile, con effetti avversi sull'ambiente e sulla catena alimentare umana.",Più che nell’antropocene viviamo nel plasticene,sost
westplaining,"##forestierismo## interpretare e spiegare secondo il punto di vista occidentale, specialmente riguardo il mondo arabo ed est-europeo. [ETIMOLOGIA: Il termine è ottenuto per derivazione come in mansplaining, whitesplaining, etc.]",Molti intellettuali ucraini parlano di «westplaining»,verb
windfall tax, ##forestierismo## Tassa imposta su profitti straordinari generati da aziende in situazioni eccezionali e impreviste.,La versione del Senato [degli Stati Uniti d'America] del progetto di legge relativo alla tassazione sui sovraprofitti petroliferi («windfall tax») prevederebbe l'esenzione del gasohol,loc nom
aicebo,Effetto placevo indotto dall'uso dell'intelligenza artificiale.,"Nel nostro caso è un fenomeno che, con un neologismo, potremmo definire «AIcebo», una sorta di effetto placebo dell’intelligenza artificiale",sost
algospeak,##forestierismo## parlata usata su certi social network per evitare la censura automatica degli algoritmi di filtraggio dei contenuti.,L’utilizzo dell’Algospeak ha permesso alle persone che vivono sotto regimi totalitari a fare attivismo social utilizzando eufemismi,sost
audiodescrittore,Professionista che fornisce la descrizione verbale di elementi visivi in prodotti audiovisivi per persone con limitazioni visive.,"Il corso formativo per sottotitolatori e audiodescrittori, promosso fra gli altri dalla Film Commission Torino Piemonte, è un inizio promettente",sost
bear spray,"##forestierismo## Spray usato per allontanare gli orsi quando si avvicinano troppo agli esseri umani, grazie alla sua elevata irritazione.","Va per altro ricordato, infine, che il bear spray, con le giuste caratteristiche, è ad oggi vietato in Italia",loc nom
bidenismo,"Concetto che riflette l'ideologia, l'approccio politico e lo stile di vita associati a Joe Biden, 46° presidente degli Stati Uniti d'America.",La contraddizione fra il bidenismo berlusconiano e il trumpismo di Salvini,sost
biorisanare,Risanamento dell'ambiente da sostanze inquinanti mediante l'uso di organismi naturali o geneticamente modificati che neutralizzano o trasformano tali sostanze in altre innocue.,CNR: Il mare bio-risanato da un batterio.,verb
blursday,"##forestierismo## un giorno che non si distingue dagli altri, letteralmente sfuocato.","'Come può mio figlio essere già alle elementari se aveva appena iniziato la materna?'. Se anche voi vi riconoscete in questi pensieri, vuol dire che state sperimentando il blursday, una sgradita eredità del Covid.",sost
booktoker,##forestierismo## Infuencer di TikTok che si specializza nella condivisione di consigli e raccomandazioni riguardanti libri.,Abbiamo raccolto alcuni nomi del panorama del BookTok italiano tra quelli che si sono fatti notare maggiormente in questo periodo.,sost
boppone,"##forestierismo## Brano musicale estremamente accattivante e ritmico, capace di coinvolgere e entusiasmare l'ascoltatore fin dal primo ascolto.","Angelina Mango ci ha dato tutto: boppone, presenza scenica e balletto",sost
brevimirante,Attributo di chi mostra una visione ristretta e manca della capacità di anticipare saggiamente gli eventi futuri o si concentra esclusivamente su obiettivi a breve termine.,"In un panorama imprenditoriale brevimirante, attento solo e soltanto alla curva del profitto, il modo di «fare impresa» di Adriano Olivetti resta una felice eccezione",agg
coronanomics,##forestierismo## economia fortememte influenzata dal corona virus,se il virus non si ferma prevale lo scenario maledetto della “coronanomics,sost
doomscrolling,"##forestierismo## Pratica compulsiva di navigare online, specialmente i social, focalizzandosi sulla ricerca e lettura incessante di notizie negative o allarmanti.","Smettila di fare doomscrolling, ti sentirai solo peggio",sost
draghicidio,"Uso ironico e metaforico riferito all'eliminazione o alla caduta politica di Mario Draghi, figura centrale nella politica.",Perché sono in molti a scommettere che se Draghicidio dovrà essere sarà al Senato,sost
draghismo,L'idee politiche ed economiche associate al politico ed economista Mario Draghi,Mario Draghi parla e i commentatori ticchettano su smartphone e tablet i loro omaggi in tempo reale. Il draghismo è un sentimento collettivo: è difficile ricordare un leader politico a cui sia stato tributato un apprezzamento tanto unanime,sost
fantacitoro,"Gioco che trasforma le dinamiche e gli eventi della politica parlamentare italiana in un contesto simile a quello di un fantacalcio, in chiave ironica.",Il Fantacitorio è un gioco collettivo sulla politica. Funziona così. Tu all'inizio hai una dote con cui puoi comprare politici e tecnici che formeranno la tua squadra,sost
forestaterapia,"Terapia basata sull'immersione nei boschi, con l'obiettivo di migliorare la salute fisica e mentale, efficace contro stress, depressione e malattie cardiovascolari.","la foresta terapia non solo riduce lo stress, ma anche il rischio malattie",sost
gigacapitalista,"Individuo che detiene una vasta fortuna e esercita un considerevole potere nei campi mediatico, politico e sociale grazie al suo capitale.",Via lo smart working da Tesla. Lo ha comunicato il gigacapitalista Elon Musk a tutti i suoi dipendenti in una email,sost
gigayatch,"Imbarcazione di lusso di dimensioni eccezionali, oltre i cento metri di lunghezza",Anche Azimut/Benetti ha aperto il capitale alla nuova avventura nel segmento dei Gigayacht che richiedeva un irrobustimento finanziario.,sost
intelligenza artificiale generativa,"Sistema di intelligenza artificiale in grado di generare contenuti di diverse modalità.",Il grande merito di OpenAI è stato dimostrare che la tecnologia dell’intelligenza artificiale generativa è in grado di andare ben oltre le aspettative di moltissimi analisti e scettici,loc nom
iper-estate,"Termine usato per riferirsi a un periodo estivo di caldo estremo e prolungato, spesso associato a ondate di calore e siccità.","In particolare, i fattori che possono contribuire all'iper-estate includono: Effetto serra, Cambiamenti climatici e urbanizzazione",sost
long-covid,"##forestierismo## Condizione di persistente malessere fisico e mentale che si manifesta dopo aver contratto il COVID-19, con sintomi che persistono per settimane o mesi dopo la guarigione.",Molte più donne (2 a 1) soffrono degli effetti a lungo termine (long-Covid),sost
meloneide,"In senso ironico, riferimento alle gesta e alle decisioni prese da Giorgia Meloni, spesso con un'accezione critica o umoristica.",Meloneide: come Giorgia si è presa la scena,sost
melonomics,"##forestierismo## Ideologia economica associata a Giorgia Meloni, leader del partito Fratelli d'Italia.","Tregua fiscale, partite Iva, flat tax fino a 100 mila euro. Ecco la «Melonomics»: le misure.",sost
modello linguistico di grandi dimensioni,"Modello di intelligenza artificiale addestrato su un vasto corpus di testi, in grado di comprendere e generare contenuti testuali complessi.","nel settembre del 2021 Jurassic-1, un modello linguistico di grandi dimensioni disponibile in commercio lanciato dalla startup statunitense AI21 Labs, è arrivato a 178 miliardi di parametri",loc nom
narco-golpe,"Termine usato per descrivere un colpo di stato narcotrafficante, spesso associato a organizzazioni criminali che prendono il controllo di un governo o di un territorio.","Che cosa sta succedendo in Ecuador, e perché il narco-golpe ci riguarda",sost
nazi-hacker,Chi pratica hacking con lo scopo di divulgare slogan nazisti.,"ll'irruzione online, da parte di un gruppo di nazi-hacker, alla presentazione di un libro sulla Shoah",sost
nearworking,"##forestierismo## Lavoro da remoto, svolto in prossimità della propria abitazione","Con il near working si introduce un cambiamento di prospettiva, che vede al centro gli spazi della città, con le loro differenti funzioni",sost
oblio oncologico,"Diritto garantito a chi ha superato un cancro di non dover più dichiarare la propria pregressa condizione di paziente oncologico dopo un determinato periodo di tempo, così da evitare discriminazioni legate alla salute.","la richiesta dei malati e medici di “oblio oncologico”, chi guarisce dal cancro incontra molte difficoltà con mutui, assicurazioni, adozioni.",loc nom
parastronauta,Individuo con disabilità addestrato per partecipare a missioni spaziali,"Sogna lo spazio anche il primo parastronauta, il britannico John McFall",sost
paricrazia,"Forma di governo in cui il potere decisionale è condiviso attraverso assemblee locali di cittadini che partecipano attivamente alla deliberazione, affiancando e integrando la democrazia rappresentativa tradizionale.",La democrazia rappresentativa ha creato un divario troppo marcato fra élite e cittadini. Io propongo di affiancarla con la “paricrazia”, sost
permacrisi,"Crisi economica e sociale permanente, che si protrae nel tempo, caratterizzata da una serie di eventi e fattori che si rafforzano a vicenda","Kluge, direttore dell'Oms Europa, interverrà a Gastein parlando della permacrisi",sost
porno etico,Materiale pornografico che rispetta i diritti dei lavoratori e promuove relazioni sane e consensuali tra adulti.,"Uniporn Tv ed è la prima piattaforma nazionale dedicata al porno etico e indipendente, che abbandona i vecchi modelli «sudici», sessisti e tossici",loc nom
privatocrazia,"Sistema politico in cui il potere è controllato da privati, che influenzano le decisioni politiche","La privatocrazia è entrata nel settore sanitario, in quello dell’istruzione ed ha conquistato anche lo Stato sociale",sost
quiet quitting,"##forestierismo## Pratica lavorativa in cui un individuo si limita a svolgere esclusivamente le mansioni essenziali richieste dalla propria posizione, senza eccedere in impegno o iniziative al di là di quanto strettamente necessario.",Un fenomeno ribattezzato dagli anglosassoni 'the great resignation' cui ora se ne affianca uno dalle radici simili ma delle conseguenze sociali meno visibili: il quiet quitting,loc nom
retequattrismo,"Utilizzato ironicamente, termine che indica lo stile editoriale e televisivo del canale televisivo Rete 4","La Fox pesca a piene mani nel retequattrismo più becero, o viceversa.",sost
saputellismo,"Comportamento di chi si atteggia a saputello, mostrando un atteggiamento arrogante e presuntuoso verso gli altri.","in un mondo di ignoranti, chi sa ha la tentazione del saputellismo",sost
strategia del porcospino,Strategia difensiva utilizzata da un soggetto più debole che si concentra su azioni puntuali e difficoltà specifiche del nemico piuttosto che su un confronto diretto e aperto.,"Rafforzare Taiwan militarmente fa parte della strategia del porcospino, di cui la scorsa settimana ha parlato il Consigliere per la Sicurezza nazionale, Robert O’Brien",loc nom
super-immunità,"Risposta immunitaria potenziata risultante dall'effetto combinato di un'infezione virale seguita da vaccinazione contro lo stesso virus, nota anche come immunità ibrida.",Vaccino Covid: «Innesca una superimmunità e respinge tutte le varianti in chi ha contratto la Sars anni fa,sost
trivaccinato,Individuo che ha ricevuto tre dosi di vaccino.,"Vaccini: Debutta la dose aggiuntiva, migliaia i primi 'tri-vaccinati",sost
vaccinodromo,"Struttura di grandi dimensioni, spesso allestita in aree come impianti sportivi, destinata a facilitare la somministrazione di vaccini su larga scala.","Responsabili del più grande 'vaccinodromo' di Francia, che accoglierà 10.000 pazienti a settimana, si trovano davanti a un clamoroso squilibrio",sost
virostar,"Virologo che acquista notorietà e presenza mediatica paragonabile a quella di una celebrità, spesso in modo ironico.","dopo aver pontificato ovunque, le virostar adesso o scendono in politica come il virologo Andrea Crisanti, oppure si offrono come potenziali ministri della Sanità come l'infettivologo Matteo Bassetti.",sost
wagnerita,"Membro del Gruppo Wagner, una compagnia paramilitare di mercenari che opera per conto di alte autorità russe.","In ogni campo militare Wagner c’è un container dove vengono portati e torturati i soldati da punire, hanno raccontato alcuni wagneriti",sost
welfareggiare,"##forestierismo## Agire, spesso con un'accezione ironica, per promuovere o estendere le politiche di welfare dello Stato sociale.","Primum salvare le banche, deinde welfareggiare (con moderazione, stante l’ormai prossimo obbligo costituzionale del pareggio di bilancio)",verb
wise working," ##forestierismo## Modello lavorativo che valorizza la relazione tra azienda e dipendenti, offrendo non solo retribuzioni economiche ma anche opportunità di crescita personale e professionale, e di contributo a progetti con impatti benefici in ambiti sociali, culturali ed ambientali.",È evidente che il sistema del wise working richiede un passaggio di paradigma nell’attività aziendale e non solo,loc nom
yolo economy,"Concetto economico e sociale che vede soprattutto i giovani scegliere di evitare o abbandonare impegni lavorativi e di vita ritenuti insoddisfacenti o troppo gravosi, in cerca di alternativi stili di vita che privilegino il benessere personale e la soddisfazione.","Yolo economy, un italiano su tre vuole cambiare lavoro",loc nom
torpore sintetico,"Nel contesto della ricerca medica e scientifica, pratica di induzione di uno stato di torpore in un essere umano attraverso la riduzione controllata della temperatura corporea.",Negli ultimi anni sono stati fatti passi in avanti per indurre il torpore sintetico in una specie che non iberna. Ma la strada per un’eventuale applicazione all’uomo è ancora lunga.,loc nom
